Count,Tradelist Count,Name,Edition,Card Number,Condition,Language,Foil,Signed,Artist Proof,Altered Art,Misprint,Promo,Textless,My Price,Type,Cost,Rarity,Price,Image URL,Last Updated
1,0,Abandon Reason,Eldritch Moon,115,Near Mint,English,,,,,,,,,Instant,{2}{R},Uncommon,$0.23,https://deckbox.org/system/images/mtg/cards/414412.jpg,2018-10-21 21:01:22 UTC
1,0,Aberrant Researcher,Shadows over Innistrad,49,Near Mint,English,,,,,,,,,Creature - Human Insect // Creature - Insect Horror,{3}{U},Uncommon,$0.23,https://deckbox.org/system/images/mtg/cards/409790.jpg,2018-10-21 19:54:43 UTC
2,0,Abrupt Decay,Return to Ravnica,141,Near Mint,English,,,,,,,,0,Instant,{B}{G},Rare,$6.28,https://deckbox.org/system/images/mtg/cards/253561.jpg,2018-12-16 16:14:05 UTC
2,0,Absorb,Ravnica Allegiance,151,Near Mint,English,,,,,,,,,Instant,{W}{U}{U},Rare,$2.94,https://deckbox.org/system/images/mtg/cards/457295.jpg,2019-07-04 17:38:10 UTC
1,0,Abundance,"",,Near Mint,English,,,,,,,,,Enchantment,{2}{G}{G},Rare,$1.63,https://deckbox.org/system/images/mtg/cards/433077.jpg,2018-10-22 01:14:19 UTC
1,0,Abzan Ascendancy,Khans of Tarkir,160,Near Mint,English,,,,,,,,,Enchantment,{W}{B}{G},Rare,$0.31,https://deckbox.org/system/images/mtg/cards/386464.jpg,2018-10-21 21:23:42 UTC
1,0,Abzan Battle Priest,Iconic Masters,2,Near Mint,English,,,,,,,,,Creature - Human Cleric,{3}{W},Uncommon,$0.29,https://deckbox.org/system/images/mtg/cards/2000389.jpg,2018-12-16 16:14:45 UTC
1,0,Abzan Falconer,Commander Anthology Volume II,15,Near Mint,English,,,,,,,,,Creature - Human Soldier,{2}{W},Uncommon,$0.26,https://deckbox.org/system/images/mtg/cards/446751.jpg,2018-12-16 16:14:13 UTC
1,0,Accomplished Automaton,Kaladesh,191,Near Mint,English,,,,,,,,,Artifact Creature - Construct,{7},Common,$0.18,https://deckbox.org/system/images/mtg/cards/417764.jpg,2018-10-21 23:14:51 UTC
1,0,Acidic Slime,"",,Near Mint,English,,,,,,,,,Creature - Ooze,{3}{G}{G},Uncommon,$0.33,https://deckbox.org/system/images/mtg/cards/451082.jpg,2018-10-22 01:11:19 UTC
